Give me some sample code of X XSS Protection Header in asp ?,"XXSSProtection header\n\n\n Example:\n\n\n /*\n In order to set the XXSSProtection header, you'll have to add the following \n code to the head of your application, the following code could be used in your controller:\n */\n \n Response.AppendHeader(""XXSSProtection:1"", ""mode=block""); \n\n /*\n In your classes you can use the following code:\n */\n \n HttpContext.Current.Response.AppendHeader(""XXSSProtection:1"", ""mode=block"");\n \n\n"
Give me some sample code of Session Cookies (Domain) in asp ?,"Session cookies (domain)\n\n\n Example:\n\n\n /*\n Setting the ""Domain"" attribute to a too permissive value, such as ""example.com"" \n allows an attacker to launch attacks on the session IDs between different hosts and \n web applications belonging to the same domain, known as crosssubdomain cookies.\n For example, vulnerabilities in www.example.com might allow an attacker to get access \n to the session IDs from secure.example.com.\n */\n \n <system.web>\n <httpCookies domain=""demo.mySite.com"" />\n </system.web>\n \n"
Give me some sample code of X Content Type Options header in asp ?,"XContentTypeOptions header\n\n\n Example:\n\n\n /*\n In order to set the ""XContentTypeOptions"" header you'll have to add the \n following code to the head of your application, the following code could be used in your controller:\n */\n \n Response.AppendHeader(""XContentTypeOptions"", ""nosniff""); \n \n /*\n In your classes you can use the following code:\n */\n \n HttpContext.Current.Response.AppendHeader(""XContentTypeOptions"", ""nosniff""); \n \n\n"
Give me some sample code of Enforce secure password in asp ?,"Enforce secure password\n\n\n Example:\n\n \n using System;\n using System.Collections.Generic;\n using System.Linq;\n using System.Web;\n using System.Text.RegularExpressions;\n using System.IO;\n\n\n namespace MvcApplication1.Controllers\n {\n public class passwordcheck\n {\n public bool checkPassword(string password)\n {\n string error = """";\n bool complete = true;\n\n /*\n Here we define the minimal expected value's for your password.\n The password must at least contain a Capital letter, a normal letter, a special character\n a number and must be at least 8 characters long\n */\n string[] pattern = new string[3] { ""[09]"", ""[AZ]"", ""[az]"" };\n\n foreach (string validation in pattern)\n {\n //Now if the regex detects any missing character than we will set complete to false\n Regex regex = new Regex(validation);\n Match match = regex.Match(password);\n\n if (!match.Success)\n {\n error = ""You did not enter a valid password"";\n complete = false;\n }\n }\n\n try\n {\n /*\n Also very important is the fact that you have to take into consideration that\n Password1! is a valid password according to password standards. This however is not the case since\n this password is included in almost every dictionary attack system. So we have to prevent \n the user from using these weak passwords, this we do by defining these bad passwords in a text \n file and compare the user's password with the bad passwords defined in the text file.\n */\n\n StreamReader sr = new StreamReader(@""C:\Users\Public\xml\test.txt"", true);\n String FileText = sr.ReadToEnd().ToString();\n\n string[] strTemp = FileText.Split(',');\n\n foreach (string value in strTemp)\n {\n if (value == password)\n {\n error = ""Your password was a bad password!"";\n complete = false;\n }\n }\n\n sr.Close();\n }\n catch{\n HttpContext.Current.Response.Write(""catching file failed"");\n throw;\n }\n\n //The last step is checking the password length to see if it is 8 characters or bigger\n if (password.Length < 8)\n {\n error = ""The password was to short"";\n complete = false;\n }\n\n if (complete == true)\n {\n //Do further operation\n HttpContext.Current.Response.Write(""Good job password was ok!"");\n return true;\n }else{\n HttpContext.Current.Response.Write(error);\n return false;\n }\n }\n }\n }\n\n"
Give me some sample code of RFD File Download Injection Prevention in asp ?,"RFD and file download injections\n\n\n Example:\n \n\n using System;\n using System.Collections.Generic;\n using System.Linq;\n using System.Web;\n using System.Net;\n using System.Data.SqlClient;\n\n namespace MvcApplication1.Controllers\n {\n public class downloadFiles\n {\n //Here we connect to the database by means of a connection string as configured in the web.config\n SqlConnection conn = new\n SqlConnection(System.Configuration.ConfigurationManager.ConnectionStrings[""download""].ConnectionString);\n\n private string fileName;\n private bool proceed = true;\n private string mimeType;\n\n validation validate = new validation();\n whitelist whitelist = new whitelist();\n\n public void downloadUserFiles(int fileID)\n {\n /*\n For the sake of example we only allow the users to download their own files\n by identifier based sql query's. As you can see we select the filename\n by its id. in this case we prevent direct userinput into the disposition header.\n */\n\n //Since we only expect an integer back from the user we validate the userinput for integers\n if (validate.validateInput(Convert.ToString(fileID), ""numeric"", ""invalid input"", ""HIGH"") == false) { proceed = false; }\n\n if (proceed == true)\n {\n conn.Open();\n string query = string.Format(""SELECT * FROM downloads WHERE userID=@userID and fileID=@fileID"");\n SqlCommand cmd = new SqlCommand(query, conn);\n\n //We bind the parameter in order to prevent sql injections\n cmd.Parameters.AddWithValue(""@userID"", Session[""userID""]);\n cmd.Parameters.AddWithValue(""@fileID"", fileID);\n\n //Next we read the value from the database and put it into a variable\n using (SqlDataReader oReader = cmd.ExecuteReader())\n {\n while (oReader.Read())\n {\n fileName = Convert.ToString(oReader[""fileName""]);\n mimeType = Convert.ToString(oReader[""mimeType""]);\n }\n }\n if (fileName != null)\n {\n try\n {\n /*\n We also define the mimetype per download file.\n This is because whenever a user can only download images it is not necessary to set\n an uncommon contenttype header for it.\n NOTE: These mimetypes should not be stored based upon the mimetype which was send \n the response header when the user uploaded the file. This value can be easily \n manipulated with an intercepting proxy. You should get the mimetype from the file\n itself after it was stored on the server.\n */\n System.Web.HttpResponse response = System.Web.HttpContext.Current.Response;\n response.ClearContent();\n response.Clear();\n response.ContentType = mimeType;\n response.AppendHeader(""CacheControl"", ""nocache"");\n response.AddHeader(""ContentDisposition"", ""attachment; filename="" + fileName + "";"");\n response.WriteFile(@""\\servername\folder1\folder2\folder3\"" + fileName + """");\n response.Flush();\n response.End();\n }\n catch (NullReferenceException e){\n if (e.Source != null)\n {\n HttpContext.Current.Response.Write(""error!"");\n }\n }\n }\n }\n }\n\n public void fixedDownloads(string download)\n {\n /*\n The second example is for whenever you are providing users with fixed downloads\n such as manuals etc. We do not only check if the file just exists, because that would\n allow an attacker to also download important other files from your server, so instead\n we whitelist them.\n */\n if (whitelist.whitelisting(""file1.txt,file2.txt"", download) != false)\n {\n System.Web.HttpResponse response = System.Web.HttpContext.Current.Response;\n response.ClearContent();\n response.Clear();\n response.ContentType = ""text/plain"";\n response.AppendHeader(""CacheControl"", ""nocache"");\n response.AddHeader(""ContentDisposition"", ""attachment; filename="" + download + "";"");\n response.WriteFile(@""\\servername\folder1\folder2\folder3\"" + download + """");\n response.Flush();\n response.End();\n }\n }\n }\n }\n"
Give me some sample code of Audit Logs in asp ?,"Audit logs\n\n\n Example:\n\n\n  using System;\n using System.Collections.Generic;\n using System.Linq;\n using System.Web;\n using System.IO;\n using System.Data.SqlClient;\n using System.ComponentModel.DataAnnotations.Schema;\n using System.ComponentModel.DataAnnotations;\n\n namespace MvcApplication1.Controllers\n {\n [Table(""counter"")]\n public class auditLogs\n {\n\n //Getters and setters for our user method\n [Key]\n public int countID { get; set; }\n public int userID { get; set; }\n public int count { get; set; }\n public int blocker { get; set; }\n\n //Here we connect to the database by means of a connection string as configured in the web.config\n SqlConnection conn = new \n SqlConnection(System.Configuration.ConfigurationManager.ConnectionStrings[""users""].ConnectionString);\n\n public void SetLog(string session, string message, string state, string threat)\n {\n using (StreamWriter writer = new StreamWriter(@""C:\Users\Public\xml\logs.txt"", true))\n {\n writer.WriteLine(session + "" "" + message + "" "" + HttpContext.Current.Request.ServerVariables[""REMOTE_ADDR""] +\n "" "" + state + "" "" + DateTime.Now + "" "" + threat);\n }\n }\n\n public void counter(int counting)\n {\n /*\n First we select the counts from the count table in order to verify if the user session should be terminated\n or that the user should be locked out.\n */\n conn.Open();\n\n string query = string.Format(""SELECT * from counter WHERE userID = @userID "");\n SqlCommand cmd = new SqlCommand(query, conn);\n\n //We bind the parameter in order to prevent sql injections\n cmd.Parameters.AddWithValue(""@userID"", System.Web.HttpContext.Current.Session[""userID""]);\n\n //Next we read the value from the database and put it into a variable\n using (SqlDataReader oReader = cmd.ExecuteReader())\n {\n while (oReader.Read())\n {\n count = Convert.ToInt32(oReader[""count""]);\n blocker = Convert.ToInt32(oReader[""blocker""]);\n }\n }\n\n //We add the counting to the database results for the final value\n int finalCount = counting += count;\n int finalBlock = counting += blocker;\n\n /*\n then we update the count table in order to keep track of the number of counts\n */\n try\n {\n using (SqlCommand command = conn.CreateCommand())\n {\n command.CommandText = ""UPDATE counter set count = @count, blocker = @blocker WHERE userID = @userID"";\n\n //Again we bind the parameters in order to prevent SQL injections\n command.Parameters.AddWithValue(""@count"", finalCount);\n command.Parameters.AddWithValue(""@blocker"", finalCount);\n command.Parameters.AddWithValue(""@userID"", System.Web.HttpContext.Current.Session[""userID""]);\n\n command.ExecuteNonQuery();\n }\n }\n catch (SqlException e){\n if (e.Source != null)\n {\n System.Web.HttpContext.Current.Response.Write(""SQL insert query error in update counter"");\n throw;\n }\n }\n conn.Close();\n\n\n /*\n After these steps we check whether the user should be blocked, whenever the count is equal to 12 we take\n further actions by means of blocking the users account and terminating his session\n */\n\n if (finalBlock >= 12)\n {\n try\n {\n using (SqlCommand command = conn.CreateCommand())\n {\n conn.Open();\n string access = ""FALSE"";\n command.CommandText = ""UPDATE users set access = @access WHERE userID = @userID"";\n\n //Again we bind the parameters in order to prevent SQL injections\n command.Parameters.AddWithValue(""@access"", access);\n command.Parameters.AddWithValue(""@userID"", System.Web.HttpContext.Current.Session[""userID""]);\n\n command.ExecuteNonQuery();\n\n HttpContext.Current.Session[""authenticateUser""] = """";\n HttpContext.Current.Session.Abandon();\n HttpContext.Current.Response.Redirect(""/login"", true);\n }\n }\n catch (SqlException e){\n if (e.Source != null)\n {\n System.Web.HttpContext.Current.Response.Write(""SQL insert query error"");\n System.Web.HttpContext.Current.Response.Write(e);\n }\n }\n }\n \n /*\n If the count hit three, the user gets a warning by means of a session termination.\n Whenever this termination occurs three times he will lock out his account.\n */\n if (finalCount >= 3)\n {\n HttpContext.Current.Session[""authenticateUser""] = """";\n HttpContext.Current.Session.Abandon();\n HttpContext.Current.Response.Redirect(""/login"", true);\n }\n }\n }\n }\n"
Give me some sample code of CSRF Token in asp ?,"CSRF Token\n\n\n Example:\n \n \n /*\n For CSRF Token we used a separate class outside of the normal controller, since\n it must be reused on several locations throughout the application\n \n First after a successful validation of a user login, the application must also start a session\n which contains the ""cross site request forgery"" token.\n */\n \n /*\n For generating the token we want to use a secure cryptographic function\n in order to use RNGCryptoServiceProvider we must first add :\n using System.Security.Cryptography;\n */\n RNGCryptoServiceProvider rng = new RNGCryptoServiceProvider();\n\n //Then we generate a long value token containing a high entropy\n byte[] buffer = new byte[128];\n\n rng.GetBytes(buffer);\n\n //Then we base64 encode the string\n string csrftoken = System.Convert.ToBase64String(buffer);\n\n System.Web.HttpContext.Current.Session[""CSRF""] = csrftoken; \n\n /*\n The next step is implementing this random token in each form field as a hidden input parameter\n and send it to a function which checks if the submitted token is equal to the one set after successful validation.\n */\n\n <form method=""post"" action=""/Home/csrf"">\n <input type=""text"" name=""testValue"" />\n <input type=""hidden"" name=""csrftoken"" value=""@Session[""CSRF""];"" />\n <input type=""submit"" value=""submit the form"" />\n </form>\n \n //here we are sending the token towards the function which does the token validation \n public void checkCSRF(string token)\n {\n string Sessiontoken = Convert.ToString(System.Web.HttpContext.Current.Session[""CSRF""]);\n \n //We compare the incoming token with the current session Token which was assigned on login\n if(Sessiontoken != token)\n { \n /*\n If there was no match the authentication session will be emptied and sessions\n Will be abandoned, we redirect the user towards the login page.\n */\n \n HttpContext.Current.Session[""authenticateUser""] = """";\n HttpContext.Current.Session.Abandon();\n HttpContext.Current.Response.Redirect(""/login"", true); \n } \n \n } \n \n\n\n"
Give me some sample code of Logout in asp ?,"Logout functionality\n\n\n Example:\n \n\n using System;\n using System.Collections.Generic;\n using System.Linq;\n using System.Web;\n\n namespace MvcApplication1.Controllers\n {\n public class logout\n {\n public void logOut()\n { \n //We clear abandon and remove all sessions before we start\n HttpContext.Current.Session.Clear();\n HttpContext.Current.Session.Abandon();\n HttpContext.Current.Session.RemoveAll();\n  \n //Double check this and empty your session manually\n HttpContext.Current.Session[""Authenticated""] = """";\n\n //Clear the aspsessionID\n if (HttpContext.Current.Request.Cookies[""ASP.NET_SessionId""] != null)\n {\n HttpContext.Current.Response.Cookies[""ASP.NET_SessionId""].Value = string.Empty;\n HttpContext.Current.Response.Cookies[""ASP.NET_SessionId""].Expires = DateTime.Now.AddMonths(20);\n }\n\n //Clear our custom set cookie.\n if (HttpContext.Current.Request.Cookies[""AuthToken""] != null)\n {\n HttpContext.Current.Response.Cookies[""AuthToken""].Value = string.Empty;\n HttpContext.Current.Response.Cookies[""AuthToken""].Expires = DateTime.Now.AddMonths(20);\n }\n HttpContext.Current.Response.Redirect(""/login"", true);\n }\n }\n }"
Give me some sample code of Timeout a Session in asp ?,"Timeout a session\n\n\n Example:\n\n\n /*\n Within your web.config you can configure your session idle timeout.\n The default time is set to 20 minutes.\n */\n \n <configuration>\n  <system.web>\n  <sessionState mode=""InProc""\n cookieless=""true""\n timeout=""20""/> < Here is where we set the timeout by minutes\n  </sessionState>\n  </system.web>\n </configuration>"
Give me some sample code of White listing in asp ?,"Whitelisting\n\n\n Example:\n \n\n using System;\n using System.Collections.Generic;\n using System.Linq;\n using System.Web;\n\n namespace MvcApplication1.Controllers\n {\n public class whitelist\n {\n //Include auditlog class\n auditLogs Log = new auditLogs();\n\n public bool whitelisting(string allowed, string input)\n {\n /*\n Here we define a whitelist of pages we want the user allow to be redirected to, all \n patterns are terminated whenever they not comply with the predefined withelist\n */\n\n string[] pattern = allowed.Split(',');\n\n //For validation if the file returned true\n bool validated = false;\n\n //To catch the user submitting evil requests we count the number of times the foreach hits false\n int count = 0;\n int countArray = 0;\n\n int counter = allowed.Length;\n\n foreach (string item in pattern)\n {\n //If filename is equal to the predefined items\n if (input == item)\n {\n validated = true;\n count = 1;\n }\n\n //Here we add up the counts, if they are equal we know the function did not hit a valid filename\n count++;\n countArray++;\n }\n \n if (countArray == count)\n {\n //this breach has to be reported into the log files\n Log.setLog(HttpContext.Current.Session[""userID""], ""Audit log message!"", ""FAIL"", ""HIGH"");\n Log.setCounter.count(3);\n }\n return validated;\n }\n }\n }"
